@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
293,'2022/02/21 13:16:53:455',2,152.31546,201.06218,195.207581,2
294,'2022/02/21 13:16:53:555',2,139.606583,166.931122,188.010635,2
295,'2022/02/21 13:16:53:652',2,139.312592,147.800537,194.064423,2
296,'2022/02/21 13:16:53:751',2,141.113434,157.035034,206.002426,2
297,'2022/02/21 13:16:53:850',2,143.753265,159.831161,207.154526,2
298,'2022/02/21 13:16:53:949',2,127.475487,161.616837,207.292068,2
299,'2022/02/21 13:16:54:048',2,130.249756,165.68042,204.198425,2
300,'2022/02/21 13:16:54:147',2,141.173645,178.465683,212.00943,2
301,'2022/02/21 13:16:54:247',2,155.235306,191.731583,204.022064,2
302,'2022/02/21 13:16:54:346',2,164.596481,210.535034,214.394501,2
303,'2022/02/21 13:16:54:445',2,160.751358,202.714081,206.784912,2
304,'2022/02/21 13:16:54:544',2,172.191757,203.835724,209.038269,2
305,'2022/02/21 13:16:54:643',2,171.8284,207.819626,217.112869,2
306,'2022/02/21 13:16:54:742',2,155.708054,200.561707,206.475174,2
307,'2022/02/21 13:16:54:841',2,146.372818,195.289536,204.55072,2
308,'2022/02/21 13:16:54:940',2,142.523682,183.207535,198.252365,2
309,'2022/02/21 13:16:55:040',2,139.086304,176.082367,198.040405,2
310,'2022/02/21 13:16:55:141',2,149.96666,174.4133,187.00267,2
311,'2022/02/21 13:16:55:237',2,130.736374,156.310593,172.002914,2
312,'2022/02/21 13:16:55:336',2,134.182709,162.889526,164.195007,2
313,'2022/02/21 13:16:55:435',2,120.440857,159.806137,157.54364,2
314,'2022/02/21 13:16:55:534',2,120.768372,166.688339,151.419952,2
315,'2022/02/21 13:16:55:633',2,109.165016,172.191757,133.330414,2
316,'2022/02/21 13:16:55:732',2,103.445641,166.012054,107.186752,2
317,'2022/02/21 13:16:55:830',2,101.123688,182.887939,85.428329,2
318,'2022/02/21 13:16:55:928',2,95.63472,195.473785,104.076897,2
319,'2022/02/21 13:16:56:029',2,93.776329,193.372696,105.683487,2
320,'2022/02/21 13:16:56:127',2,87.800911,198.816498,113.070778,2
321,'2022/02/21 13:16:56:227',2,81.596565,193.093246,117.885536,2
322,'2022/02/21 13:16:56:326',2,75.133217,192.439606,126.751724,2
323,'2022/02/21 13:16:56:425',2,71.309189,188.597458,119.037811,2
324,'2022/02/21 13:16:56:523',2,66.211784,183.393021,124.036285,2
325,'2022/02/21 13:16:56:624',2,59.808025,181.223618,125.574677,2
326,'2022/02/21 13:16:56:722',2,58.694122,183.133835,126.194298,2
327,'2022/02/21 13:16:56:821',2,63.063461,171.026306,117.902504,2
328,'2022/02/21 13:16:56:959',2,61.326992,173.002884,119.436172,2
329,'2022/02/21 13:16:57:053',2,58.600342,167.074829,115.741089,2
330,'2022/02/21 13:16:57:291',2,106.943909,188.170135,161.755981,2
